x,y,hate,y
a55,-100,"uncivilised',",-10
a55hole,-100,"'gypo',",-10
aeolus,-100,"'gypos',",-10
ahole,-100,"'cunt',",-10
anal,-100,"'cunts',",-10
analprobe,-100,"'peckerwood',",-10
anilingus,-100,"'peckerwoods',",-10
anus,-100,"'raghead',",-10
areola,-100,"'ragheads',",-10
areole,-100,"'cripple',",-10
arian,-100,"'cripples',",-10
aryan,-100,"'niggur',",-10
ass,-100,"'niggurs',",-10
assbang,-100,"'yellow bone',",-10
assbanged,-100,"'yellow bones',",-10
assbangs,-100,"'muzzie',",-10
asses,-100,"'muzzies',",-10
assfuck,-100,"'niggar',",-10
assfucker,-100,"'niggars',",-10
assh0le,-100,"'nigger',",-10
asshat,-100,"'niggers',",-10
assho1e,-100,"'greaseball',",-10
ass hole,-100,"'greaseballs',",-10
assholes,-100,"'white trash',",-10
assmaster,-100,"'white trashes',",-10
assmunch,-100,"'nig nog',",-10
asswipe,-100,"'nig nogs',",-10
asswipes,-100,"'faggot',",-10
azazel,-100,"'faggots',",-10
azz,-100,"'cotton picker',",-10
b1tch,-100,"'cotton pickers',",-10
babe,-100,"'darkie',",-10
babes,-100,"'darkies',",-10
ballsack,-100,"'hoser',",-10
bang,-100,"'hosers',",-10
banger,-100,"'Uncle Tom',",-10
barf,-100,"'Uncle Toms',",-10
bastard,-100,"'Jihadi',",-10
bastards,-100,"'Jihadis',",-10
bawdy,-100,"'retard',",-10
beaner,-100,"'retards',",-10
beardedclam,-100,"'hillbilly',",-10
beastiality,-100,"'hillbillies',",-10
beatch,-100,"'fag',",-10
beater,-100,"'fags',",-10
beaver,-100,"'trailer trash',",-10
beer,-100,"'trailer trashes',",-10
beeyotch,-100,"'pikey',",-10
beotch,-100,"'pikies',",-10
biatch,-100,"'nicca',",-10
bigtits,-100,"'niccas',",-10
big tits,-100,"'tranny',",-10
bimbo,-100,"'trannies',",-10
bitch,-100,"'porch monkey',",-10
bitched,-100,"'porch monkies',",-10
bitches,-100,"'wigger',",-10
bitchy,-100,"'wiggers',",-10
blow job,-100,"'wetback',",-10
blow,-100,"'wetbacks',",-10
blowjob,-100,"'nigglet',",-10
blowjobs,-100,"'nigglets',",-10
bod,-100,"'wigga',",-10
bodily,-100,"'wiggas',",-10
boink,-100,"'dhimmi',",-10
bollock,-100,"'dhimmis',",-10
bollocks,-100,"'honkey',",-10
bollok,-100,"'honkies',",-10
bone,-100,"'eurotrash',",-10
boned,-100,"'eurotrashes',",-10
boner,-100,"'yardie',",-10
boners,-100,"'yardies',",-10
bong,-100,"'trailer park trash',",-10
boob,-100,"'trailer park trashes',",-10
boobies,-100,"'niggah',",-10
boobs,-100,"'niggahes',",-10
booby,-100,"'yokel',",-10
booger,-100,"'yokels',",-10
bookie,-100,"'nigguh',",-10
bootee,-100,"'nigguhes',",-10
bootie,-100,"'camel jockey',",-10
booty,-100,"'camel jockies',",-10
booze,-100,"'honkie',",-10
boozer,-100,"'niglet',",-10
boozy,-100,"'niglets',",-10
bosom,-100,"'gyppo',",-10
bosomy,-100,"'gyppos',",-10
bowel,-100,"'dyke',",-10
bowels,-100,"'dykes',",-10
bra,-100,"'half breed',",-10
brassiere,-100,"'honky',",-10
breast,-100,"'race traitor',",-10
breasts,-100,"'race traitors',",-10
bugger,-100,"'jiggaboo',",-10
bukkake,-100,"'jiggaboos',",-10
bullshit,-100,"'Chinaman',",-10
bull shit,-100,"'Chinamans',",-10
bullshits,-100,"'curry muncher',",-10
bullshitted,-100,"'curry munchers',",-10
bullturds,-100,"'jungle bunny',",-10
bung,-100,"'jungle bunnies',",-10
busty,-100,"'coon ass',",-10
butt,-100,"'coon asses',",-10
butt fuck,-100,"'newfie',",-10
buttfuck,-100,"'newfies',",-10
buttfucker,-100,"'house nigger',",-10
buttplug,-100,"'house niggers',",-10
c.0.c.k,-100,"'limey',",-10
c.o.c.k.,-100,"'limies',",-10
c.u.n.t,-100,"'red bone',",-10
c0ck,-100,"'red bones',",-10
c-0-c-k,-100,"'guala',",-10
caca,-100,"'gualas',",-10
cahone,-100,"'plastic paddy',",-10
cameltoe,-100,"'plastic paddies',",-10
carpetmuncher,-100,"'whigger',",-10
cawk,-100,"'whiggers',",-10
cervix,-100,"'jigaboo',",-10
chinc,-100,"'jigaboos',",-10
chincs,-100,"'nig',",-10
chink,-100,"'nigs',",-10
chode,-100,"'Zionazi',",-10
chodes,-100,"'Zionazis',",-10
cl1t,-100,"'spear chucker',",-10
climax,-100,"'spear chuckers',",-10
clit,-100,"'niggress',",-10
clitoris,-100,"'niggresses',",-10
clitorus,-100,"'yobbo',",-10
clits,-100,"'yobbos',",-10
clitty,-100,"'border jumper',",-10
cocain,-100,"'border jumpers',",-10
cocaine,-100,"'sperg',",-10
cock,-100,"'spergs',",-10
c-o-c-k,-100,"'pommy',",-10
cockblock,-100,"'pommies',",-10
cockholster,-100,"'munter',",-10
cockknocker,-100,"'munters',",-10
cocks,-100,"'tar baby',",-10
cocksmoker,-100,"'tar babies',",-10
cocksucker,-100,"'pommie',",-10
cock sucker,-100,"'gyp',",-10
coital,-100,"'gyps',",-10
commie,-100,"'anchor baby',",-10
condom,-100,"'anchor babies',",-10
coon,-100,"'twat',",-10
coons,-100,"'twats',",-10
corksucker,-100,"'border hopper',",-10
crabs,-100,"'border hoppers',",-10
crack,-100,"'queer',",-10
cracker,-100,"'queers',",-10
crackwhore,-100,"'darky',",-10
crap,-100,"'ching chong',",-10
crappy,-100,"'ching chongs',",-10
cum,-100,"'khazar',",-10
cummin,-100,"'khazars',",-10
cumming,-100,"'gippo',",-10
cumshot,-100,"'gippos',",-10
cumshots,-100,"'skanger',",-10
cumslut,-100,"'skangers',",-10
cumstain,-100,"'beaner',",-10
cunilingus,-100,"'beaners',",-10
cunnilingus,-100,"'quadroon',",-10
cunny,-100,"'quadroons',",-10
cunt,-100,"'gator bait',",-10
c-u-n-t,-100,"'gator baits',",-10
cuntface,-100,"'Cushite',",-10
cunthunter,-100,"'Cushites',",-10
cuntlick,-100,"'mud shark',",-10
cuntlicker,-100,"'mud sharks',",-10
cunts,-100,"'cracker',",-10
d0ng,-100,"'crackers',",-10
d0uch3,-100,"'dune coon',",-10
d0uche,-100,"'dune coons',",-10
d1ck,-100,"'pickaninny',",-10
d1ld0,-100,"'pickaninnies',",-10
d1ldo,-100,"'slant eye',",-10
dago,-100,"'slant eyes',",-10
dagos,-100,"'sideways vagina',",-10
dammit,-100,"'sideways vaginas',",-10
damn,-100,"'hick',",-10
damned,-100,"'hicks',",-10
damnit,-100,"'camel fucker',",-10
dawgie-style,-100,"'camel fuckers',",-10
dick,-100,"'redneck',",-10
dickbag,-100,"'rednecks',",-10
dickdipper,-100,"'spiv',",-10
dickface,-100,"'spivs',",-10
dickflipper,-100,"'zipperhead',",-10
dickhead,-100,"'zipperheads',",-10
dickheads,-100,"'Kushite',",-10
dickish,-100,"'Kushites',",-10
dick-ish,-100,"'Shylock',",-10
dickripper,-100,"'Shylocks',",-10
dicksipper,-100,"'gook',",-10
dickweed,-100,"'gooks',",-10
dickwhipper,-100,"'papist',",-10
dickzipper,-100,"'papists',",-10
diddle,-100,"'hymie',",-10
dike,-100,"'hymies',",-10
dildo,-100,"'wog',",-10
dildos,-100,"'wogs',",-10
diligaf,-100,"'scally',",-10
dillweed,-100,"'scallies',",-10
dimwit,-100,"'coon',",-10
dingle,-100,"'coons',",-10
dipship,-100,"'whitey',",-10
doggie-style,-100,"'whities',",-10
doggy-style,-100,"'nigette',",-10
dong,-100,"'nigettes',",-10
doofus,-100,"'paki',",-10
doosh,-100,"'pakis',",-10
dopey,-100,"'towel head',",-10
douch3,-100,"'towel heads',",-10
douche,-100,"'Argie',",-10
douchebag,-100,"'Argies',",-10
douchebags,-100,"'wexican',",-10
douchey,-100,"'wexicans',",-10
drunk,-100,"'jigger',",-10
dumass,-100,"'jiggers',",-10
dumbass,-100,"'injun',",-10
dumbasses,-100,"'injuns',",-10
dummy,-100,"'ocker',",-10
dyke,-100,"'ockers',",-10
dykes,-100,"'polack',",-10
ejaculate,-100,"'polacks',",-10
enlargement,-100,"'moulie',",-10
erect,-100,"'moulies',",-10
erection,-100,"'niggor',",-10
erotic,-100,"'niggors',",-10
essohbee,-100,"'scanger',",-10
extacy,-100,"'scangers',",-10
extasy,-100,"'ofay',",-10
f.u.c.k,-100,"'ofaies',",-10
fack,-100,"'jigga',",-10
fag,-100,"'jiggas',",-10
fagg,-100,"'redskin',",-10
fagged,-100,"'redskins',",-10
faggit,-100,"'chonky',",-10
faggot,-100,"'chonkies',",-10
fagot,-100,"'hebro',",-10
fags,-100,"'hebros',",-10
faig,-100,"'wop',",-10
faigt,-100,"'wops',",-10
fannybandit,-100,"'chink',",-10
fart,-100,"'chinks',",-10
fartknocker,-100,"'sideways pussy',",-10
fat,-100,"'sideways pussies',",-10
felch,-100,"'paleface',",-10
felcher,-100,"'palefaces',",-10
felching,-100,"'wagon burner',",-10
fellate,-100,"'wagon burners',",-10
fellatio,-100,"'nigra',",-10
feltch,-100,"'nigras',",-10
feltcher,-100,"'spic',",-10
fisted,-100,"'spics',",-10
fisting,-100,"'jocky',",-10
fisty,-100,"'jockies',",-10
floozy,-100,"'kraut',",-10
foad,-100,"'krauts',",-10
fondle,-100,"'steek',",-10
foobar,-100,"'steeks',",-10
foreskin,-100,"'coolie',",-10
freex,-100,"'coolies',",-10
frigg,-100,"'gooky',",-10
frigga,-100,"'gookies',",-10
fubar,-100,"'octaroon',",-10
fuck,-100,"'octaroons',",-10
f-u-c-k,-100,"'bint',",-10
fuckass,-100,"'bints',",-10
fucked,-100,"'shit heel',",-10
fucker,-100,"'shit heels',",-10
fuckface,-100,"'squaw',",-10
fuckin,-100,"'squaws',",-10
fucking,-100,"'bog trotter',",-10
fucknugget,-100,"'bog trotters',",-10
fucknut,-100,"'Oriental',",-10
fuckoff,-100,"'Orientals',",-10
fucks,-100,"'halfrican',",-10
fucktard,-100,"'halfricans',",-10
fuck-tard,-100,"'paddy',",-10
fuckup,-100,"'paddies',",-10
